docket_id,customer_id,short_name,order_size1,order_size2,net_out,unitizing_bundle_qty,unitizing_unit_qty,unitizing_max_height,unitizing_piling_pattern_id
110093,11806,,22.1,66.02,1.0,0,0,48,0
110094,11806,,22.1,66.02,1.0,0,0,48,0
110095,11806,,22.1,66.02,1.0,0,0,48,0
110096,11806,,22.1,66.02,1.0,0,0,48,0
110097,11806,,22.1,66.02,1.0,0,0,48,0
110098,11806,,22.1,66.02,1.0,0,0,48,0
110099,11806,,22.1,66.02,1.0,0,0,48,0
110100,11806,,22.1,66.02,1.0,0,0,48,0
110101,11806,,22.1,66.02,1.0,0,0,48,0
110102,11806,,22.1,66.02,1.0,0,0,48,0
110103,11806,,22.1,66.02,1.0,0,0,48,0
110104,11806,,22.1,66.02,1.0,0,0,48,0
110105,11806,,22.1,66.02,1.0,0,0,48,0
110106,11806,,22.1,66.02,1.0,0,0,48,0
110107,11806,,22.1,66.02,1.0,0,0,48,0
110108,11806,,22.1,66.02,1.0,0,0,48,0
110109,11806,,22.1,66.02,1.0,0,0,48,0
110110,11806,,22.1,66.02,1.0,0,0,48,0
110111,11806,,22.1,66.02,1.0,0,0,48,0
110112,11806,,22.1,66.02,1.0,0,0,48,0
110113,11806,,22.1,66.02,1.0,0,0,48,0
110114,11806,,22.1,66.02,1.0,0,0,48,0
110115,11806,,22.1,66.02,1.0,0,0,48,0
110116,11806,,22.1,66.02,1.0,0,0,48,0
110117,11806,,22.1,66.02,1.0,0,0,48,0
110118,11806,,22.1,66.02,1.0,0,0,48,0
110119,11806,,22.1,66.02,1.0,0,0,48,0
110120,11806,,22.1,66.02,1.0,0,0,48,0
110121,11806,,22.1,66.02,1.0,0,0,48,0
110122,11806,,22.1,66.02,1.0,0,0,48,0
110123,11806,,22.1,66.02,1.0,0,0,48,0
110124,11806,,22.1,66.02,1.0,0,0,48,0
110125,11806,,22.1,66.02,1.0,0,0,48,0
110126,11806,,22.1,66.02,1.0,0,0,48,0
110127,11806,,22.1,66.02,1.0,0,0,48,0
110128,11806,,22.1,66.02,1.0,0,0,48,0
110129,11806,,22.1,66.02,1.0,0,0,48,0
110130,11806,,22.1,66.02,1.0,0,0,48,0
110131,11806,,22.1,66.02,1.0,0,0,48,0
110184,11806,,22.1,66.02,1.0,0,0,48,0
110185,11806,,22.1,66.02,1.0,0,0,48,0
110186,11806,,22.1,66.02,1.0,0,0,48,0
110187,11806,,22.1,66.02,1.0,0,0,48,0
110188,11806,,22.1,66.02,1.0,0,0,48,0
110189,11806,,22.1,66.02,1.0,0,0,48,0
110190,11806,,22.1,66.02,1.0,0,0,48,0
110191,11806,,22.1,66.02,1.0,0,0,48,0
110192,11806,,22.1,66.02,1.0,0,0,48,0
110193,11806,,22.1,66.02,1.0,0,0,48,0
110194,11806,,22.1,66.02,1.0,0,0,48,0
110195,11806,,22.1,66.02,1.0,0,0,48,0
110196,11806,,22.1,66.02,1.0,0,0,48,0
110197,11806,,22.1,66.02,1.0,0,0,48,0
110198,11806,,22.1,66.02,1.0,0,0,48,0
110199,11806,,22.1,66.02,1.0,0,0,48,0
110200,11806,,22.1,66.02,1.0,0,0,48,0
110201,11806,,22.1,66.02,1.0,0,0,48,0
110202,11806,,22.1,66.02,1.0,0,0,48,0
110203,11806,,22.1,66.02,1.0,0,0,48,0
110204,11806,,22.1,66.02,1.0,0,0,48,0
110205,11806,,22.1,66.02,1.0,0,0,48,0
110206,11806,,22.1,66.02,1.0,0,0,48,0
110207,11806,,22.1,66.02,1.0,0,0,48,0
110209,11806,,22.1,66.02,1.0,0,0,48,0
110210,11806,,22.1,66.02,1.0,0,0,48,0
110211,11806,,22.1,66.02,1.0,0,0,48,0
110212,11806,,22.1,66.02,1.0,0,0,48,0
110213,11806,,22.1,66.02,1.0,0,0,48,0
110214,11806,,22.1,66.02,1.0,0,0,48,0
110215,11806,,22.1,66.02,1.0,0,0,48,0
110216,11806,,22.1,66.02,1.0,0,0,48,0
110218,11806,,22.1,66.02,1.0,0,0,48,0
110219,11806,,22.1,66.02,1.0,0,0,48,0
110220,11806,,22.1,66.02,1.0,0,0,48,0
110221,11806,,22.1,66.02,1.0,0,0,48,0
110222,11806,,22.1,66.02,1.0,0,0,48,0
110223,11806,,22.1,66.02,1.0,0,0,48,0
110224,11806,,22.1,66.02,1.0,0,0,48,0
110225,11806,,22.1,66.02,1.0,0,0,48,0
110226,11806,,22.1,66.02,1.0,0,0,48,0
110227,11806,,22.1,66.02,1.0,0,0,48,0
110228,11806,,22.1,66.02,1.0,0,0,48,0
110229,11806,,22.1,66.02,1.0,0,0,48,0
110230,11806,,22.1,66.02,1.0,0,0,48,0
110231,11806,,22.1,66.02,1.0,0,0,48,0
110232,11806,,22.1,66.02,1.0,0,0,48,0
